rank,Country,ISO3,Project_007_Region,market_attractiveness_score,n_pillars_available,score_market_size,score_market_growth,score_spending_power,score_digital_readiness,score_market_stability
75,Cabo Verde,CPV,Africa,45.41520802738935,5,0.008606715243185124,79.86108117364861,5.812803834638721,72.63661323911018,68.75693517430605
76,Azerbaijan,AZE,Middle East,45.39955651977274,3,0.20662284577678,,,88.15008883808699,47.84195787545444
77,Thailand,THA,South & Southeast Asia,44.83492503672748,5,1.5705632895444026,75.42889321831277,7.34328506186935,88.72669730646903,51.1051863074419
78,Serbia,SRB,Europe,44.407390560573745,5,0.26938997649485286,71.17710836376739,10.565601686088943,84.22611664596661,55.79873613055095
79,Argentina,ARG,Latin America,44.22178536184258,5,2.2624600127053784,63.69061202169456,17.509052615776994,88.39675191350479,49.25005024553119
80,Vanuatu,VUT,Oceania,44.09153726300509,4,0.0040906065693585986,100.0,11.067664270982329,,65.29439417446865
81,Aruba,ABW,Latin America,44.01851300843125,2,0.009883542657312247,,,,88.02714247420519
82,Albania,ALB,Europe,43.76352735570488,5,0.08626257539229765,72.89468057824287,8.6872810098776,81.83256898002543,55.31684363498619
83,Viet Nam,VNM,South & Southeast Asia,43.639963324532744,5,1.2432244581685161,85.35991043575939,3.947057286667246,76.38635884826061,51.26326559380793
84,Panama,PAN,Latin America,43.52480568207933,5,0.2096545208329197,77.55528312911146,16.28017106612586,66.11842797651624,57.46049171781016
85,Kyrgyz Republic,KGZ,Europe,43.417250555434016,5,0.07015783447023101,86.3748837168355,2.640703618416486,90.3524520087362,37.648055598711665
86,Tonga,TON,Oceania,43.21417228649959,5,0.002139218173997629,72.41476996988108,9.494885973658088,61.36002627806481,72.79903999272
87,American Samoa,ASM,Oceania,42.99301201282369,4,0.002303365141179871,69.09511145253133,20.961384966705072,,81.9132482669172
88,Morocco,MAR,Africa,42.71708509952964,5,0.4730544603511297,72.12367706671023,3.7158006702740893,90.30461814025298,46.968275160059754
