ISO3,Country,Year,Project_007_Region,Official_Region,Sub_Region,population_total,urban_population_pct,population_65_plus_pct,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_current_usd,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_current_usd,household_consumption_expenditure_constant_2015_usd,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_per_capita_check_usd,household_consumption_pct_of_gdp,consumption_growth_yoy_real_pct,consumption_cagr_2013_2023_real_pct,cagr_start_year,cagr_end_year,inflation_cpi_annual_pct,unemployment_pct_of_labor_force,internet_users_pct_of_population,global_consumption_share_pct,regional_consumption_share_pct,cluster,pca1,pca2
CMR,Cameroon,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,28372687.0,55.1286878511388,2.77483940805466,80.2951604071451,48814501547.4313,1720.47510154506,5415.22890256369,35956128705.7259,31028829973.402,1093.61619410252,1267.279644882626,73.6587029794592,2.676589119401074,4.021995826746427,2013.0,2023.0,7.38281384280984,3.607,42.24380112,0.0608116935468124,2.171627983402733,0,-1.7268075071892817,-0.10091003512001642
COG,"Congo, Rep.",2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,6182885.0,63.6626757615625,2.91461025071629,77.9305853486992,15321055822.5167,2477.97845544866,6855.92386613313,6757854311.06645,5036736877.60294,814.625676784048,1092.993693246187,44.108280717408,4.900016359414239,2.585189637793284,2013.0,2023.0,4.30174563591016,19.919,43.15039825,0.0114293885407395,0.4081514350384907,0,-1.3245870892548803,0.2525237441197858
COL,Colombia,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,52321152.0,78.275571579544,9.37542803553496,42.8026198463432,366901643683.302,7012.49169137756,21281.7475207548,269707151368.888,271650733158.104,5191.9868499475,5154.839697889068,73.5093876008064,0.5132226006876905,3.804965377730296,2013.0,2023.0,11.7359044948689,9.591,77.33686322,0.4561489021986036,6.11536850425196,3,-0.04470340457281373,0.060120242071311426
COM,Comoros,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,850387.0,33.1502180946901,4.47290468927676,72.0409311057792,1465977684.31307,1723.89474946474,3896.71858176845,1483940667.63092,1154614221.39259,1357.75149595723,1745.0180536989865,101.225324471857,3.636573292370748,2.7297511499536187,2013.0,2023.0,8.37373955490996,3.833,31.92749977,0.0025097514212438,0.089624973419996,0,-2.282305639631161,0.1954040983313138
CPV,Cabo Verde,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,522331.0,75.9064245753376,6.57945496194459,49.1432552588223,2504525537.51069,4794.90119772843,10250.5950245626,1808107579.35384,1572071684.68331,3009.72311557865,3461.6126160496697,72.193617205076,0.1827699992745124,4.1629509733566605,2013.0,2023.0,3.72437517668748,11.882,74.59919739,0.0030580067424729,0.1092035532652347,3,-0.4760735524375828,-0.24216225274473666
CRI,Costa Rica,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,5105525.0,78.8819393641702,11.7188426539051,45.0322532261748,87512637055.7736,17140.771430122,29247.8937202355,56989510662.8797,46498519379.298,9107.49029322117,11162.32134068087,65.1214642595665,4.211180285852145,3.360861611720045,2013.0,2023.0,0.525193508693455,8.325,85.39514799,0.0963849219190816,1.292186198295624,3,0.5110620514962648,-0.3176477359459745
CYP,Cyprus,2023,Middle East,Europe & Central Asia,Western Asia,1344976.0,66.6739477522639,14.3232720596026,43.6311017609808,35075440602.5202,36623.70703125,59874.734375,20360137958.5631,18569227857.5733,19388.892578125,15137.919158827444,58.0467062104423,5.984966188860952,3.630197585863693,2013.0,2023.0,3.54134188751646,5.835,91.22110357,0.034434587778906,0.8838101050051417,2,1.3152890041486076,-0.6974922401548045
CZE,Czechia,2023,Europe,Europe & Central Asia,Eastern Europe,10864042.0,72.7352388396817,20.5459005583495,56.7878159701296,345059295659.911,31761.5944102491,56062.3957561294,163117506391.318,100300586792.878,9232.34527194192,15014.439965467547,47.2723118730543,-2.592897190020016,1.479358473818193,2013.0,2023.0,10.6612601372427,2.579,85.99404818,0.2758765241934793,1.15446307480316,3,1.0466306358625135,0.38681081314133914
DEU,Germany,2023,Europe,Europe & Central Asia,Western Europe,83287273.0,81.9034366692129,22.7900439454493,57.9918953896649,4562207532490.28,54776.7668235491,72262.2235142279,2398806343954.94,1971519313377.3,23671.3154646965,28801.595460508597,52.5799479061742,-0.6535947781230345,1.0714608821073224,2013.0,2023.0,5.94643667725823,3.071,92.4763763,4.057040663654847,16.977536065662573,2,2.415855740476287,0.08704696281296283
DJI,Djibouti,2023,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,1152944.0,72.8408245988921,4.73574810907906,52.2310906894298,3898447007.38798,3381.29779710722,7231.79450192575,2770211614.83449,2828670370.56275,2453.43257830628,2402.7286796535564,71.059363115226,5.2947451288201774,8.638081935113394,2013.0,2023.0,1.44905087029086,26.074,64.75869751,0.0046851890302169,0.1673113674710993,0,-1.3558833571682738,-1.6032451867879016
DNK,Denmark,2023,Europe,Europe & Central Asia,Northern Europe,5946952.0,88.552638542867,20.6001829312424,57.3988511670291,404651706117.557,68043.5466971243,77425.3867230346,180111625072.406,159032372962.87,26741.8289172117,30286.376125518756,44.5102843629384,-2.541198438380554,1.2541632235554043,2013.0,2023.0,3.30517811237606,5.094,98.77559197,0.3046182484705957,1.274738837596349,2,2.9049307142874214,-0.10128152629256051
DOM,Dominican Republic,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,11331265.0,72.3577991823338,7.58086111388,52.6597760530361,120456239153.739,10630.431743829,25861.2335511855,82035129159.7219,69102813087.1749,6098.41999875344,7239.714997374247,68.1036779298913,2.6542173410430525,4.3555677535019655,2013.0,2023.0,4.78561281021135,5.555,86.12689972,0.1387439447489726,1.8600732036928684,3,0.044241384418835385,-0.4333584102301722
DZA,Algeria,2023,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,46164219.0,74.732808364138,6.37685866623239,58.7709984775404,247923887214.655,5370.477235078,16838.3550419037,100747302033.003,86102818199.3929,1865.1418796751,2182.36773447858,40.6363836760009,4.000000000271209,2.3557089803621034,2013.0,2023.0,9.32217375928322,11.645,76.19760132,0.170391370746303,6.084794671244889,3,-0.20571899278913366,0.44845110430546925
ECU,Ecuador,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,17980083.0,63.1307729554263,8.09288255232192,49.4714073657307,120792801000.0,6718.1447938811,15907.3619798807,79155240000.0,71494654359.2997,3976.32504584655,4402.384571862099,65.5297661323376,3.6280631831435928,2.118672693054213,2013.0,2023.0,2.21568764237058,3.51,72.6943146,0.1338732608535202,1.7947742919891445,3,-0.4139330699397522,0.17577956549517745
EGY,"Egypt, Arab Rep.",2023,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,114535772.0,42.7098115041919,4.96968538776552,59.7566710357047,395926071447.591,3456.78965212363,18540.1079077988,312623076305.887,375964697614.929,3282.50895811772,2729.479802221851,78.9599621876046,3.5732001984222217,4.069563964762524,2013.0,2023.0,33.8847763115546,6.753,74.01190186,0.5287315235621541,18.88137141569413,0,-1.1189824703681532,0.6023929194050144
ESP,Spain,2023,Europe,Europe & Central Asia,Southern Europe,48352528.0,80.128491001856,20.6537075238774,51.3142228402432,1619481980719.64,33493.2225409111,55661.317481747,897514593096.094,770636659303.582,15937.8773185051,18561.895938431477,55.41985670611,1.7784756966000792,1.3827825513925918,2013.0,2023.0,3.53236133492433,12.179,95.44564516,1.5179437929996098,6.352153608458873,2,1.7401899607785625,0.10423695158950419
EST,Estonia,2023,Europe,Europe & Central Asia,Northern Europe,1370286.0,70.6770085523126,20.9140825455897,58.4343478723355,41470344395.1086,30264.0064885057,48848.1421016254,22236240666.4416,15292055805.8333,11159.7548291622,16227.444976042669,53.6196190091547,-1.3414476452102475,3.195800499436152,2013.0,2023.0,9.15922507983982,6.378,93.18342241,0.0376075929671894,0.1573768465431224,3,0.9040274635249573,-0.16936083225204882
