DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP105,XDC,V,N,T0117,2021,438,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP12,XDC,V,N,T0117,2021,13301,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP032,XDC,V,N,T0117,2021,761,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP051,XDC,V,N,T0117,2021,1856,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP02,XDC,V,N,T0117,2021,5951,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP083,XDC,V,N,T0117,2021,2385,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP012,XDC,V,N,T0117,2022,1807,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP04,XDC,V,N,T0117,2022,39127,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP111,XDC,V,N,T0117,2022,7430,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP022,XDC,V,N,T0117,2022,1828,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP052,XDC,V,N,T0117,2022,544,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP127,XDC,V,N,T0117,2022,1272,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP043,XDC,V,N,T0117,2022,219,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP042,XDC,V,N,T0117,2022,22568,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP122_127,XDC,V,N,T0117,2022,1450,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP082,XDC,V,N,T0117,2022,510,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP095,XDC,V,N,T0117,2022,1216,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP044,XDC,V,N,T0117,2022,743,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP091,XDC,V,N,T0117,2022,1308,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP03,XDC,V,N,T0117,2022,4912,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP045,XDC,V,N,T0117,2022,7344,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP092,XDC,V,N,T0117,2022,972,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP051,XDC,V,N,T0117,2022,1887,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP083,XDC,V,N,T0117,2022,2466,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP032,XDC,V,N,T0117,2022,967,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP105,XDC,V,N,T0117,2022,452,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP122,XDC,V,N,T0117,2022,178,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP011,XDC,V,N,T0117,2022,13992,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP096,XDC,V,N,T0117,2022,921,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP12,XDC,V,N,T0117,2022,14337,,F,1,A,6,EUR
