iso3,year,regulatory_quality_score
CAN,2015,81.0256924
CAN,2014,81.3971141
CAN,2013,82.5136629
CYM,2023,71.8061363
CYM,2022,71.8018496
CYM,2021,71.8420873
CYM,2020,71.8571837
CYM,2019,71.8947196
CYM,2018,71.8726744
CYM,2017,70.1546352
CYM,2016,70.1348594
CYM,2015,70.1161687
CYM,2014,70.0362375
CYM,2013,74.7664509
CAF,2023,33.9129262
CAF,2022,33.2641042
CAF,2021,32.8807719
CAF,2020,33.3324054
CAF,2019,33.2972289
CAF,2018,33.291231
CAF,2017,32.5024124
CAF,2016,32.2659246
CAF,2015,30.9318801
CAF,2014,30.9147381
CAF,2013,32.5289352
TCD,2023,37.7675024
TCD,2022,38.4076691
TCD,2021,37.6904732
TCD,2020,36.7671449
TCD,2019,36.7072687
TCD,2018,37.1356993
TCD,2017,37.64593
TCD,2016,36.8461518
TCD,2015,36.7254531
TCD,2014,36.4737696
TCD,2013,35.5527344
CHL,2023,68.2289179
CHL,2022,67.9183786
CHL,2021,68.6421149
CHL,2020,68.9035577
CHL,2019,71.8526052
CHL,2018,73.4003225
CHL,2017,74.4226276
CHL,2016,74.9892096
CHL,2015,74.1517046
CHL,2014,75.7418312
CHL,2013,78.5432046
CHN,2023,53.5713664
CHN,2022,53.4303195
CHN,2021,54.4733371
CHN,2020,53.8120983
CHN,2019,53.8861719
CHN,2018,53.434562
CHN,2017,53.7455019
CHN,2016,52.5299811
CHN,2015,52.0404678
CHN,2014,52.1953952
CHN,2013,50.7216584
COL,2023,57.01675
COL,2022,57.8029206
COL,2021,58.5939804
COL,2020,57.3994514
COL,2019,58.5270465
COL,2018,56.5795741
COL,2017,57.5180257
COL,2016,59.1675412
COL,2015,59.7437816
COL,2014,58.9045449
COL,2013,58.5861278
COM,2023,34.5985004
COM,2022,35.1591507
COM,2021,33.8788536
COM,2020,34.7145039
COM,2019,35.7221589
COM,2018,35.2889464
COM,2017,35.5806215
COM,2016,35.57313
COM,2015,35.2990354
COM,2014,35.1315271
COM,2013,32.8314184
COD,2023,35.0219567
COD,2022,34.2431387
COD,2021,33.9952104
COD,2020,33.2765131
COD,2019,33.3474892
COD,2018,34.4346669
COD,2017,34.651322
COD,2016,35.8173189
COD,2015,34.9116451
COD,2014,35.6331923
COD,2013,35.1915862
COG,2023,36.1497395
COG,2022,35.6511607
COG,2021,36.5462503
COG,2020,34.0353566
COG,2019,35.6952545
COG,2018,36.3824626
COG,2017,36.1496859
COG,2016,38.0938935
COG,2015,39.3563343
COG,2014,38.4445395
COG,2013,37.7763691
CRI,2023,63.9239446
CRI,2022,64.2055654
CRI,2021,63.7041888
CRI,2020,63.3658161
CRI,2019,65.4136941
CRI,2018,65.1359862
CRI,2017,63.470592
CRI,2016,65.1912997
CRI,2015,64.5883882
CRI,2014,63.1397123
CRI,2013,66.4658166
CIV,2023,51.8839317
CIV,2022,51.4636422
CIV,2021,50.3026275
CIV,2020,49.7970195
CIV,2019,49.8780562
CIV,2018,50.174469
CIV,2017,48.4719694
CIV,2016,47.8671117
CIV,2015,47.8317995
CIV,2014,46.2093004
CIV,2013,43.6630818
