iso3,year,political_stability_score
CRI,2022,85.4710022
CRI,2021,83.2688714
CRI,2020,81.6952443
CRI,2019,76.5896171
CRI,2018,76.735494
CRI,2017,78.5448694
CRI,2016,78.4171178
CRI,2015,78.6355453
CRI,2014,77.5166561
CRI,2013,77.153462
CIV,2023,52.4435059
CIV,2022,53.658544
CIV,2021,50.5963204
CIV,2020,45.9579809
CIV,2019,48.5828489
CIV,2018,50.2088875
CIV,2017,48.1100354
CIV,2016,51.1147452
CIV,2015,52.5049057
CIV,2014,48.1807412
CIV,2013,45.2489852
HRV,2023,77.5653694
HRV,2022,78.4001506
HRV,2021,76.7657831
HRV,2020,76.9588991
HRV,2019,78.6648898
HRV,2018,79.0287809
HRV,2017,76.5731112
HRV,2016,76.7489407
HRV,2015,76.3380325
HRV,2014,76.7087681
HRV,2013,77.8226012
CUB,2023,73.2488883
CUB,2022,74.3923665
CUB,2021,74.4256073
CUB,2020,77.317512
CUB,2019,77.1553649
CUB,2018,75.5904409
CUB,2017,75.6815934
CUB,2016,76.3869662
CUB,2015,75.8822886
CUB,2014,75.7299549
CUB,2013,71.0891761
CYP,2023,72.6175899
CYP,2022,72.404801
CYP,2021,74.0794418
CYP,2020,73.6462217
CYP,2019,78.5331873
CYP,2018,77.1017013
CYP,2017,77.4041516
CYP,2016,78.9998839
CYP,2015,77.5634733
CYP,2014,77.9047176
CYP,2013,78.1310078
CZE,2023,84.1796811
CZE,2022,82.9033439
CZE,2021,82.9227315
CZE,2020,81.4082597
CZE,2019,83.5971951
CZE,2018,83.7215235
CZE,2017,83.3175368
CZE,2016,84.0305673
CZE,2015,84.6939927
CZE,2014,85.0958818
CZE,2013,85.005901
DNK,2023,81.2779733
DNK,2022,80.2709531
DNK,2021,80.2591122
DNK,2020,80.7263059
DNK,2019,81.242189
DNK,2018,83.0073538
DNK,2017,81.5224092
DNK,2016,81.8158814
DNK,2015,83.3159021
DNK,2014,85.2102567
DNK,2013,83.3239817
DJI,2023,57.9682181
DJI,2022,57.7394306
DJI,2021,56.8861688
DJI,2020,58.0505993
DJI,2019,59.3303305
DJI,2018,60.8259835
DJI,2017,52.993998
DJI,2016,53.8101722
DJI,2015,57.4700879
DJI,2014,59.3289913
DJI,2013,60.8463858
DMA,2023,87.0792486
DMA,2022,87.0710767
DMA,2021,87.0208227
DMA,2020,87.0500185
DMA,2019,82.7489638
DMA,2018,84.8896624
DMA,2017,84.8445243
DMA,2016,81.8875233
DMA,2015,84.8904806
DMA,2014,85.4934526
DMA,2013,84.5344352
DOM,2023,73.8470193
DOM,2022,74.289238
DOM,2021,71.8780557
DOM,2020,69.9277076
DOM,2019,66.7744903
DOM,2018,65.9469346
DOM,2017,67.4637175
DOM,2016,68.5519931
DOM,2015,67.8938356
DOM,2014,66.8331451
DOM,2013,65.7284045
ECU,2023,59.8413932
ECU,2022,61.9036395
ECU,2021,62.5069701
ECU,2020,63.3085413
ECU,2019,62.3101269
ECU,2018,64.7456762
ECU,2017,63.7182247
ECU,2016,63.0368482
ECU,2015,62.7810581
ECU,2014,65.6082987
ECU,2013,61.395906
EGY,2023,50.5325121
EGY,2022,49.5934665
EGY,2021,47.6720665
EGY,2020,46.809485
EGY,2019,45.4490688
EGY,2018,44.3372496
EGY,2017,40.7648362
EGY,2016,39.5891865
EGY,2015,39.967655
EGY,2014,40.1160411
EGY,2013,35.027376
SLV,2023,67.2989159
SLV,2022,64.1882591
SLV,2021,62.1021567
SLV,2020,63.3356789
SLV,2019,62.2422412
SLV,2018,58.7190176
SLV,2017,60.1543384
SLV,2016,61.6051676
SLV,2015,63.4839557
SLV,2014,64.1791153
SLV,2013,63.8876178
GNQ,2023,60.9838483
GNQ,2022,59.9473897
GNQ,2021,60.4031285
GNQ,2020,59.3927775
GNQ,2019,60.0851443
GNQ,2018,59.3885122
GNQ,2017,59.1463873
GNQ,2016,58.9763844
GNQ,2015,57.1724923
GNQ,2014,56.3346551
GNQ,2013,62.511191
ERI,2023,52.4037143
ERI,2022,47.6229894
ERI,2021,48.3502402
ERI,2020,47.6073256
ERI,2019,49.2154045
ERI,2018,50.0762283
ERI,2017,51.6451921
ERI,2016,53.1037114
ERI,2015,52.4110252
ERI,2014,54.7608658
ERI,2013,49.0944736
EST,2023,80.3685061
EST,2022,80.8282096
EST,2021,81.0612214
EST,2020,81.5734269
EST,2019,79.9625636
EST,2018,79.5395993
EST,2017,80.2859166
EST,2016,80.809179
EST,2015,81.1286169
EST,2014,83.3984558
EST,2013,80.63728
SWZ,2023,53.4899964
SWZ,2022,59.04749
SWZ,2021,58.5724729
SWZ,2020,62.5658248
SWZ,2019,60.4579416
SWZ,2018,56.553976
SWZ,2017,59.3977021
SWZ,2016,58.2348978
SWZ,2015,58.2716249
SWZ,2014,59.1025969
SWZ,2013,56.5446939
ETH,2023,34.0585384
ETH,2022,34.0209042
ETH,2021,31.4927932
ETH,2020,38.6764124
ETH,2019,45.7555776
ETH,2018,45.303812
ETH,2017,39.9376631
ETH,2016,41.3027375
ETH,2015,44.3110499
ETH,2014,45.7974959
ETH,2013,42.0613399
FJI,2023,79.2681419
FJI,2022,79.2616509
FJI,2021,77.2767758
FJI,2020,76.150895
FJI,2019,77.6492708
FJI,2018,77.8243726
FJI,2017,72.419293
FJI,2016,78.203374
FJI,2015,71.4692383
FJI,2014,71.489697
FJI,2013,63.7756872
FIN,2023,78.9597268
FIN,2022,84.5001627
FIN,2021,85.1751318
FIN,2020,85.6622581
FIN,2019,82.9390103
FIN,2018,83.6849655
FIN,2017,85.3471794
FIN,2016,84.0178329
FIN,2015,85.2782928
FIN,2014,88.4108482
FIN,2013,88.6681551
FRA,2023,65.5737443
FRA,2022,66.2332512
FRA,2021,68.0151167
FRA,2020,68.0652717
FRA,2019,69.3801876
FRA,2018,67.6768856
FRA,2017,69.8226831
FRA,2016,65.1849449
FRA,2015,68.8591869
FRA,2014,72.5184039
FRA,2013,74.2924203
PYF,2023,83.8205251
PYF,2022,83.7947301
PYF,2021,83.6360762
PYF,2020,82.152599
PYF,2019,81.3247888
PYF,2018,
PYF,2017,
PYF,2016,
PYF,2015,
PYF,2014,
PYF,2013,
GAB,2023,61.278856
GAB,2022,63.6313784
GAB,2021,61.0768695
GAB,2020,62.1449871
GAB,2019,61.1017813
GAB,2018,59.1736205
GAB,2017,58.1655772
GAB,2016,56.762925
GAB,2015,63.9332923
GAB,2014,64.4156989
GAB,2013,65.8730276
GMB,2023,68.2173748
GMB,2022,68.1916174
GMB,2021,66.2906164
GMB,2020,68.2241135
GMB,2019,67.0539043
GMB,2018,63.9221602
GMB,2017,62.5301089
GMB,2016,58.2713192
GMB,2015,62.2986891
GMB,2014,59.9097914
GMB,2013,61.7600806
GEO,2023,63.8290809
GEO,2022,64.1856405
GEO,2021,62.4478661
GEO,2020,63.7217145
GEO,2019,63.5922889
GEO,2018,64.2740856
GEO,2017,63.9717105
GEO,2016,64.8444146
GEO,2015,64.3468344
GEO,2014,65.4707201
GEO,2013,62.0340473
DEU,2023,74.5380247
DEU,2022,74.9216757
DEU,2021,77.1734509
DEU,2020,77.5791167
DEU,2019,78.3156599
DEU,2018,79.967946
DEU,2017,77.8895081
DEU,2016,79.4663004
DEU,2015,80.0916647
DEU,2014,84.1249875
DEU,2013,82.236509
GHA,2023,64.7189964
GHA,2022,62.6874031
GHA,2021,63.1229241
GHA,2020,66.9002519
GHA,2019,66.1232816
GHA,2018,65.3470646
GHA,2017,67.0285244
GHA,2016,63.7043955
GHA,2015,65.5037422
GHA,2014,64.3060128
GHA,2013,66.4125875
GRC,2023,72.4760005
GRC,2022,69.9418272
GRC,2021,69.7722104
GRC,2020,71.0124183
GRC,2019,70.6590444
GRC,2018,71.8955182
GRC,2017,66.0129396
GRC,2016,63.2676633
GRC,2015,63.8422013
GRC,2014,64.6982098
GRC,2013,63.2919773
GRL,2023,87.2644234
GRL,2022,87.2501944
GRL,2021,95.8754921
GRL,2020,95.9263372
GRL,2019,95.939297
GRL,2018,95.9157057
GRL,2017,95.8370978
GRL,2016,95.8259231
GRL,2015,95.9171303
GRL,2014,95.95376
GRL,2013,95.7887962
GRD,2023,86.4830939
GRD,2022,86.4749221
GRD,2021,83.6742656
GRD,2020,83.7034631
GRD,2019,81.5566579
GRD,2018,81.5431104
GRD,2017,81.4979723
GRD,2016,81.4915548
GRD,2015,76.0431255
GRD,2014,76.0927766
GRD,2013,72.2847652
GUM,2023,82.9536885
GUM,2022,82.9456584
GUM,2021,82.8962772
GUM,2020,82.9249658
GUM,2019,82.037867
GUM,2018,81.8976066
GUM,2017,79.7758327
GUM,2016,77.0309169
GUM,2015,79.8342176
GUM,2014,79.8609401
GUM,2013,79.0564069
GTM,2023,62.441645
GTM,2022,60.7606088
GTM,2021,56.0882035
GTM,2020,56.2626186
GTM,2019,54.0326157
GTM,2018,54.2170508
GTM,2017,53.9242978
GTM,2016,54.9087497
GTM,2015,54.0924081
GTM,2014,53.4202728
GTM,2013,53.3610765
GIN,2023,50.9211424
GIN,2022,51.9956519
GIN,2021,48.5406693
GIN,2020,47.3141831
GIN,2019,51.2403992
GIN,2018,49.9997455
GIN,2017,52.2221591
GIN,2016,56.0275724
GIN,2015,53.1461028
GIN,2014,45.928633
GIN,2013,41.918524
GNB,2023,60.4386377
GNB,2022,59.7407092
GNB,2021,60.766724
GNB,2020,61.0452634
GNB,2019,57.9713799
GNB,2018,54.8021913
GNB,2017,55.952263
GNB,2016,57.2092211
GNB,2015,55.8577693
GNB,2014,50.8371778
GNB,2013,49.4816913
GUY,2023,69.3320619
GUY,2022,69.4937085
GUY,2021,65.4135855
GUY,2020,65.7697557
GUY,2019,64.8797001
GUY,2018,65.1928502
GUY,2017,65.8066075
GUY,2016,65.8021475
GUY,2015,63.3287027
GUY,2014,62.1643167
GUY,2013,57.2018709
HTI,2023,49.2955001
HTI,2022,49.7180767
HTI,2021,45.1703278
HTI,2020,48.1480266
HTI,2019,49.6502252
HTI,2018,52.79648
HTI,2017,51.6449222
HTI,2016,50.6117229
HTI,2015,50.077887
HTI,2014,50.1409403
HTI,2013,50.2577613
HND,2023,59.9027299
HND,2022,57.7266194
HND,2021,52.1201836
HND,2020,54.5120159
HND,2019,51.7655593
HND,2018,51.1298505
HND,2017,50.4087337
HND,2016,53.8554146
HND,2015,54.6121397
HND,2014,54.1154324
HND,2013,56.7397402
HKG,2023,72.8711475
HKG,2022,72.5420431
HKG,2021,69.6299189
HKG,2020,66.0293653
HKG,2019,62.7459691
HKG,2018,78.9065466
HKG,2017,77.5678958
HKG,2016,77.2913173
HKG,2015,80.8462512
HKG,2014,83.4157082
HKG,2013,80.5127705
HUN,2023,75.8726477
HUN,2022,77.3414621
HUN,2021,78.4275956
HUN,2020,79.4552913
HUN,2019,78.4086402
HUN,2018,77.1961301
HUN,2017,78.4050394
HUN,2016,76.6176771
HUN,2015,80.3034406
HUN,2014,79.6595668
HUN,2013,79.7770421
ISL,2023,86.4918414
ISL,2022,87.5416868
ISL,2021,88.7538245
ISL,2020,88.5944668
ISL,2019,92.4804694
ISL,2018,88.0295612
ISL,2017,87.2524987
ISL,2016,86.744111
ISL,2015,87.4562907
ISL,2014,87.6339138
ISL,2013,87.3115669
IND,2023,51.5804563
IND,2022,53.0233442
IND,2021,55.618123
IND,2020,53.5848591
IND,2019,55.8082856
IND,2018,54.3030106
IND,2017,56.121815
IND,2016,53.3186065
IND,2015,52.8796025
IND,2014,51.9299014
IND,2013,45.8934808
IDN,2023,55.4106465
IDN,2022,52.8702435
IDN,2021,54.7968926
IDN,2020,56.6712515
IDN,2019,55.9824787
IDN,2018,56.6224801
IDN,2017,55.9594851
IDN,2016,57.9790701
IDN,2015,56.6870383
IDN,2014,59.3178371
IDN,2013,55.3369189
IRN,2023,44.2108184
IRN,2022,46.3386888
IRN,2021,46.1177041
IRN,2020,45.0322128
IRN,2019,44.4465189
IRN,2018,49.3491312
IRN,2017,53.9467875
IRN,2016,54.8787562
IRN,2015,52.4051184
IRN,2014,53.4829674
IRN,2013,45.7232421
IRQ,2023,27.893044
IRQ,2022,27.8121934
IRQ,2021,28.7885726
IRQ,2020,28.6313211
IRQ,2019,27.926688
IRQ,2018,28.7944333
IRQ,2017,28.8661777
IRQ,2016,27.8165031
IRQ,2015,27.5477532
IRQ,2014,27.3954194
IRQ,2013,29.9553193
IRL,2023,80.8689441
IRL,2022,79.6512293
IRL,2021,78.4715124
IRL,2020,80.9019235
IRL,2019,81.9665496
IRL,2018,82.7292175
IRL,2017,81.9818889
IRL,2016,81.0232285
IRL,2015,82.1508669
IRL,2014,85.8453899
IRL,2013,81.1790503
ISR,2023,48.0899696
ISR,2022,50.4355996
ISR,2021,53.9389948
ISR,2020,56.1947534
ISR,2019,58.4448733
ISR,2018,60.0064425
ISR,2017,58.2051536
ISR,2016,59.8364088
ISR,2015,55.45086
ISR,2014,55.7743479
ISR,2013,50.7683953
ITA,2023,73.9866119
ITA,2022,72.9400137
ITA,2021,73.3970182
ITA,2020,71.5703375
ITA,2019,71.4003499
ITA,2018,72.2549458
ITA,2017,70.2390966
ITA,2016,71.9044211
ITA,2015,72.6352882
ITA,2014,74.2540636
ITA,2013,72.4331752
JAM,2023,74.0301443
JAM,2022,73.6244016
JAM,2021,68.3253356
JAM,2020,68.499749
JAM,2019,68.9525634
JAM,2018,68.7885972
JAM,2017,68.1002514
JAM,2016,67.5349802
JAM,2015,66.9316769
JAM,2014,66.4905855
JAM,2013,68.0714364
JPN,2023,87.5440509
JPN,2022,87.6884434
JPN,2021,85.7099533
JPN,2020,85.2401102
JPN,2019,84.9598388
JPN,2018,85.330928
JPN,2017,85.8692068
JPN,2016,85.0237906
JPN,2015,86.7789985
JPN,2014,86.5722411
JPN,2013,83.7939427
JOR,2023,60.7571481
JOR,2022,60.5741204
JOR,2021,59.2156857
JOR,2020,60.3256959
JOR,2019,61.0324608
JOR,2018,60.3867267
JOR,2017,58.3040185
JOR,2016,56.7031633
JOR,2015,54.9548496
JOR,2014,55.481518
JOR,2013,54.1726541
KAZ,2023,62.442125
KAZ,2022,55.9945571
KAZ,2021,61.9220603
KAZ,2020,61.0381062
KAZ,2019,62.1182664
KAZ,2018,64.0387063
KAZ,2017,64.9310816
KAZ,2016,64.4158014
KAZ,2015,66.4788419
KAZ,2014,66.3999625
KAZ,2013,58.1833165
KEN,2023,49.2970221
KEN,2022,49.4578625
KEN,2021,46.9300692
KEN,2020,47.9541846
KEN,2019,47.5288168
KEN,2018,46.7693279
KEN,2017,46.5544465
KEN,2016,45.7526771
KEN,2015,44.8701358
KEN,2014,44.3174879
KEN,2013,45.9646649
KIR,2023,87.1324236
KIR,2022,87.1254492
KIR,2021,85.7896595
KIR,2020,85.9646041
KIR,2019,84.6713442
KIR,2018,82.2220118
KIR,2017,82.1552364
KIR,2016,82.1457425
KIR,2015,82.2232229
KIR,2014,87.7824315
KIR,2013,92.2597341
PRK,2023,71.4703965
PRK,2022,70.483852
PRK,2021,62.505549
PRK,2020,62.6941435
PRK,2019,62.6995174
PRK,2018,61.1916066
PRK,2017,59.840915
PRK,2016,58.1136167
PRK,2015,48.701853
PRK,2014,48.7170369
PRK,2013,57.301062
KOR,2023,81.8173145
KOR,2022,80.5106575
KOR,2021,81.2769586
KOR,2020,80.7211746
KOR,2019,80.490315
KOR,2018,80.7641604
KOR,2017,76.5785261
KOR,2016,74.7023463
