iso3,year,rule_of_law_score
DJI,2014,39.3212284
DJI,2013,41.1744408
DMA,2023,66.2508194
DMA,2022,66.6737982
DMA,2021,66.2048805
DMA,2020,67.2646038
DMA,2019,67.3354878
DMA,2018,67.5302768
DMA,2017,68.9960797
DMA,2016,69.5378606
DMA,2015,69.6026107
DMA,2014,68.9481427
DMA,2013,71.5104998
DOM,2023,52.8141789
DOM,2022,52.190124
DOM,2021,51.3825289
DOM,2020,50.4017581
DOM,2019,48.7017175
DOM,2018,47.5276274
DOM,2017,47.3345164
DOM,2016,47.7981194
DOM,2015,47.7666927
DOM,2014,49.8492033
DOM,2013,47.6363216
ECU,2023,42.1867434
ECU,2022,46.9912765
ECU,2021,49.5387927
ECU,2020,47.1952973
ECU,2019,45.8024781
ECU,2018,43.7623713
ECU,2017,41.7779892
ECU,2016,40.3394051
ECU,2015,38.6259246
ECU,2014,39.5025208
ECU,2013,39.8536536
EGY,2023,43.5801616
EGY,2022,43.6640534
EGY,2021,42.8773177
EGY,2020,43.3703097
EGY,2019,44.0672159
EGY,2018,44.2329876
EGY,2017,43.6330552
EGY,2016,42.4291768
EGY,2015,42.5396523
EGY,2014,42.5128363
EGY,2013,43.2771413
SLV,2023,44.795442
SLV,2022,40.3615724
SLV,2021,42.5917078
SLV,2020,45.071142
SLV,2019,44.0743893
SLV,2018,42.6501709
SLV,2017,42.1456598
SLV,2016,44.1267632
SLV,2015,43.7543201
SLV,2014,46.4711587
SLV,2013,45.2381082
GNQ,2023,31.4801164
GNQ,2022,31.4245688
GNQ,2021,30.6526602
GNQ,2020,30.6678348
GNQ,2019,29.6261966
GNQ,2018,28.9572889
GNQ,2017,30.0174165
GNQ,2016,30.0284348
GNQ,2015,30.7629756
GNQ,2014,31.4327232
GNQ,2013,32.6776629
ERI,2023,26.0345534
ERI,2022,26.5109492
ERI,2021,28.5385025
ERI,2020,29.0169498
ERI,2019,27.9012143
ERI,2018,28.0200921
ERI,2017,28.8474639
ERI,2016,28.5077109
ERI,2015,28.5087349
ERI,2014,28.1055965
ERI,2013,29.9421335
EST,2023,82.473124
EST,2022,83.1610479
EST,2021,82.5887163
EST,2020,82.7612794
EST,2019,82.8867196
EST,2018,80.4083456
EST,2017,81.1706954
EST,2016,80.6134817
EST,2015,80.3951433
EST,2014,80.0857017
EST,2013,77.4631348
SWZ,2023,44.4450579
SWZ,2022,44.4531297
SWZ,2021,44.9567992
SWZ,2020,45.6126991
SWZ,2019,47.3764142
SWZ,2018,48.954677
SWZ,2017,48.9057039
SWZ,2016,47.7098147
SWZ,2015,47.7074104
SWZ,2014,46.9599771
SWZ,2013,46.5204192
ETH,2023,39.0773855
ETH,2022,41.1619717
ETH,2021,40.6411603
ETH,2020,42.9561135
ETH,2019,43.5958009
ETH,2018,43.301479
ETH,2017,43.4972869
ETH,2016,43.2208451
ETH,2015,43.1068707
ETH,2014,43.998762
ETH,2013,42.4071385
FJI,2023,62.5689715
FJI,2022,61.0453578
FJI,2021,59.7806585
FJI,2020,59.7978572
FJI,2019,58.0490535
FJI,2018,53.4387605
FJI,2017,51.8724626
FJI,2016,50.8851809
FJI,2015,52.0850492
FJI,2014,49.5373075
FJI,2013,42.6145895
FIN,2023,91.7312587
FIN,2022,91.2817565
FIN,2021,92.6055607
FIN,2020,93.2612748
FIN,2019,93.2567225
FIN,2018,92.2639833
FIN,2017,92.9256523
