ISO3,Country,Year,Project_007_Region,Official_Region,Sub_Region,population_total,urban_population_pct,population_65_plus_pct,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_current_usd,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_current_usd,household_consumption_expenditure_constant_2015_usd,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_per_capita_check_usd,household_consumption_pct_of_gdp,consumption_growth_yoy_real_pct,consumption_cagr_2013_2023_real_pct,cagr_start_year,cagr_end_year,inflation_cpi_annual_pct,unemployment_pct_of_labor_force,internet_users_pct_of_population,global_consumption_share_pct,regional_consumption_share_pct
CPV,Cabo Verde,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,522331.0,75.9064245753376,6.57945496194459,49.1432552588223,2504525537.51069,4794.90119772843,10250.5950245626,1808107579.35384,1572071684.68331,3009.72311557865,3461.6126160496697,72.193617205076,0.18276999927451243,4.1629509733566605,2013.0,2023.0,3.72437517668748,11.882,74.59919739,0.0030580067424729384,0.10920355326523479
CRI,Costa Rica,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,5105525.0,78.8819393641702,11.7188426539051,45.0322532261748,87512637055.7736,17140.771430122,29247.8937202355,56989510662.8797,46498519379.298,9107.49029322117,11162.32134068087,65.1214642595665,4.211180285852145,3.360861611720045,2013.0,2023.0,0.525193508693455,8.325,85.39514799,0.0963849219190816,1.292186198295624
CUB,Cuba,2020,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,11176354.0,77.1080322265625,15.6395502504663,45.9321906866978,107352000000.0,9605.27914559614,,54345000000.0,47588924992.8179,4258.00086439798,4862.49809195378,50.6231835457188,-8.687937930412215,1.198109803223657,2013.0,2023.0,,2.233,71.11907507,0.09191232773830962,1.2322242835490116
CUW,Curacao,2018,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,159336.0,91.3601331655991,14.2532223467441,45.8475592453935,3046364804.46927,19119.1243941688,24623.0413085512,2230837988.82682,,,14000.840919985565,73.2295090054214,,,,,2.58368756641814,,,0.003772960021347358,0.05058225673927768
CYP,Cyprus,2023,Middle East,Europe & Central Asia,Western Asia,1344976.0,66.6739477522639,14.3232720596026,43.6311017609808,35075440602.5202,36623.70703125,59874.734375,20360137958.5631,18569227857.5733,19388.892578125,15137.919158827443,58.0467062104423,5.984966188860952,3.6301975858636926,2013.0,2023.0,3.54134188751646,5.835,91.22110357,0.03443458777890606,0.8838101050051417
CZE,Czechia,2023,Europe,Europe & Central Asia,Eastern Europe,10864042.0,72.7352388396817,20.5459005583495,56.7878159701296,345059295659.911,31761.5944102491,56062.3957561294,163117506391.318,100300586792.878,9232.34527194192,15014.439965467549,47.2723118730543,-2.592897190020016,1.479358473818193,2013.0,2023.0,10.6612601372427,2.579,85.99404818,0.2758765241934793,1.1544630748031601
DEU,Germany,2023,Europe,Europe & Central Asia,Western Europe,83287273.0,81.9034366692129,22.7900439454493,57.9918953896649,4562207532490.28,54776.7668235491,72262.2235142279,2398806343954.94,1971519313377.3,23671.3154646965,28801.595460508594,52.5799479061742,-0.6535947781230345,1.0714608821073224,2013.0,2023.0,5.94643667725823,3.071,92.4763763,4.057040663654847,16.977536065662573
DJI,Djibouti,2023,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,1152944.0,72.8408245988921,4.73574810907906,52.2310906894298,3898447007.38798,3381.29779710722,7231.79450192575,2770211614.83449,2828670370.56275,2453.43257830628,2402.7286796535564,71.059363115226,5.2947451288201774,8.638081935113394,2013.0,2023.0,1.44905087029086,26.074,64.75869751,0.004685189030216939,0.16731136747109937
DNK,Denmark,2023,Europe,Europe & Central Asia,Northern Europe,5946952.0,88.552638542867,20.6001829312424,57.3988511670291,404651706117.557,68043.5466971243,77425.3867230346,180111625072.406,159032372962.87,26741.8289172117,30286.376125518753,44.5102843629384,-2.541198438380554,1.2541632235554045,2013.0,2023.0,3.30517811237606,5.094,98.77559197,0.3046182484705957,1.2747388375963493
DOM,Dominican Republic,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,11331265.0,72.3577991823338,7.58086111388,52.6597760530361,120456239153.739,10630.431743829,25861.2335511855,82035129159.7219,69102813087.1749,6098.41999875344,7239.714997374247,68.1036779298913,2.6542173410430525,4.3555677535019655,2013.0,2023.0,4.78561281021135,5.555,86.12689972,0.13874394474897267,1.8600732036928684
DZA,Algeria,2023,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,46164219.0,74.732808364138,6.37685866623239,58.7709984775404,247923887214.655,5370.477235078,16838.3550419037,100747302033.003,86102818199.3929,1865.1418796751,2182.3677344785797,40.6363836760009,4.000000000271209,2.3557089803621034,2013.0,2023.0,9.32217375928322,11.645,76.19760132,0.17039137074630306,6.084794671244889
ECU,Ecuador,2023,Latin America,Latin America & Caribbean ,Latin America and the Caribbean,17980083.0,63.1307729554263,8.09288255232192,49.4714073657307,120792801000.0,6718.1447938811,15907.3619798807,79155240000.0,71494654359.2997,3976.32504584655,4402.384571862099,65.5297661323376,3.6280631831435928,2.1186726930542132,2013.0,2023.0,2.21568764237058,3.51,72.6943146,0.1338732608535202,1.7947742919891443
EGY,"Egypt, Arab Rep.",2023,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Northern Africa,114535772.0,42.7098115041919,4.96968538776552,59.7566710357047,395926071447.591,3456.78965212363,18540.1079077988,312623076305.887,375964697614.929,3282.50895811772,2729.479802221851,78.9599621876046,3.5732001984222217,4.069563964762524,2013.0,2023.0,33.8847763115546,6.753,74.01190186,0.5287315235621541,18.881371415694126
ESP,Spain,2023,Europe,Europe & Central Asia,Southern Europe,48352528.0,80.128491001856,20.6537075238774,51.3142228402432,1619481980719.64,33493.2225409111,55661.317481747,897514593096.094,770636659303.582,15937.8773185051,18561.895938431473,55.41985670611,1.7784756966000792,1.3827825513925918,2013.0,2023.0,3.53236133492433,12.179,95.44564516,1.5179437929996098,6.352153608458873
EST,Estonia,2023,Europe,Europe & Central Asia,Northern Europe,1370286.0,70.6770085523126,20.9140825455897,58.4343478723355,41470344395.1086,30264.0064885057,48848.1421016254,22236240666.4416,15292055805.8333,11159.7548291622,16227.444976042667,53.6196190091547,-1.3414476452102475,3.195800499436152,2013.0,2023.0,9.15922507983982,6.378,93.18342241,0.037607592967189414,0.1573768465431224
ETH,Ethiopia,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,128691692.0,23.0586471557617,3.17131039041743,74.0248657156642,135874093203.18,1055.81091593061,3063.42789983124,107230732526.856,77694952841.2432,603.729359943788,833.2374130791287,78.9191890808122,7.183212069905709,7.476294037746456,2013.0,2023.0,30.2188278135278,3.375,20.33749962,0.18135663320687104,6.476371840303571
FIN,Finland,2023,Europe,Europe & Central Asia,Northern Europe,5583911.0,74.0062548602828,23.5778747195571,62.6357187918865,295191741637.26,52864.6931581216,63466.8356113767,151334357098.042,131644814605.89,23575.7365412684,27101.85694185348,51.2664603212395,-0.255559082295842,0.5987703988006077,2013.0,2023.0,6.25064322154763,7.149,93.51385075,0.25594798100398597,1.071067913456431
FJI,Fiji,2023,Oceania,East Asia & Pacific,Melanesia,924145.0,58.6069049738768,6.34304879480558,50.894119644834,5476673518.13788,5926.20586394763,14656.2474506851,3823476473.52925,,,4137.312297885343,69.8138470527136,,,,,2.97544080604539,5.316,74.1160965,0.006466549318883737,0.36490474187743016
FRA,France,2023,Europe,Europe & Central Asia,Western Europe,68372286.0,78.7804323126547,21.7491423914771,62.6913599952639,3056250648138.29,44700.1384177544,60927.0361517867,1670309715724.54,1441339893505.39,21080.762072302,24429.630972475312,54.6522490471129,0.6773845936541179,1.0937442144774545,2013.0,2023.0,4.8783572650844,7.335,86.83635789,2.824952691437238,11.821605987912404
FRO,Faroe Islands,2023,Europe,Europe & Central Asia,Northern Europe,54398.0,39.1975270123645,17.7259725661857,60.9866532508656,3943131022.2291,72486.6910957957,79784.0760936327,1600751246.1758,,,29426.656240593406,40.5959436080539,,,,,,,,0.0027073102063854574,0.011329306378812234
GAB,Gabon,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,2484789.0,91.6375962797313,4.04183293668656,68.6454953915487,19388372070.9778,7802.82433276138,20772.7726890351,6685090126.23857,5527468361.71632,2224.52222772892,2690.4055540484806,34.479893937281,2.1220045413948174,1.1022561117847385,2013.0,2023.0,3.62901534185376,20.161,68.19789886,0.011306324310294913,0.4037567255508548
GBR,United Kingdom,2023,Europe,Europe & Central Asia,Northern Europe,68526000.0,83.1601932891335,19.238129106618,57.8463970694922,3420796653789.08,49919.6896621586,60786.7193353069,2124077512840.85,2046547454512.93,29865.2694526593,30996.665686613112,62.0930656748653,-0.3945973554788207,1.4663526510992897,2013.0,2023.0,6.79396706793963,4.025,95.44719696,3.5923987211666537,15.033144576841167
GEO,Georgia,2023,Middle East,Europe & Central Asia,Western Asia,3715483.0,60.7523077799724,15.317458316393,57.1296262620538,30777833600.6515,8283.66960652261,25092.632631604,21996831224.279,16926073637.7397,4555.55136108541,5920.31540025321,71.4697191156864,4.65689061821839,4.941293329542207,2013.0,2023.0,2.48776056578715,11.549,81.88425624,0.03720268581636239,0.9548570718762673
GHA,Ghana,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,33787914.0,57.8074737774654,3.6318149146467,66.1425812587668,80547146875.9526,2383.90410476221,7562.64422849208,68650427211.5376,56956878048.6735,1685.71750385873,2031.804248452201,85.2301166138924,10.157463733630179,4.298167891251681,2013.0,2023.0,38.1069656296501,2.829,70.67430115,0.1161067359507188,4.14625250747271
GIN,Guinea,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,14405468.0,37.6454083954705,3.44105793716664,80.7795140106788,22407615556.0571,1555.49375806861,4337.3181486001,15830268377.0635,9953104902.23956,690.925480674391,1098.9069134764313,70.6468224495414,3.959999999930619,3.3107529783317657,2013.0,2023.0,7.80497591927973,5.141,32.31560135,0.02677333361409622,0.9560944136606107
